section,check_item,required,notes
Method Statement,Scope area and WBS clearly defined,Yes,
Method Statement,Spec and code clause references included,Yes,
Method Statement,Linked ITP and hold witness points defined,Yes,
Method Statement,Risk and HSE controls aligned with quality controls,Yes,
Method Statement,Prerequisite approvals identified shop drawing MIR permits,Yes,
MIR,Technical datasheet TDS and SDS submitted,Yes,
MIR,Compliance certificates ASTM BS EN UL attached,Yes,
MIR,Approved manufacturer vendor list compliance verified,Yes,
MIR,Sample or mockup requirement closed where needed,Yes,
MIR,Document numbering revision and traceability correct,Yes,
Testing,Test standard clearly defined,Yes,
Testing,Acceptance criteria measurable and numeric,Yes,
Testing,Sampling frequency and lot plan approved,Yes,
Testing,Lab accreditation ISO 17025 verified,Yes,
Testing,Instrument calibration certificates in date,Yes,
Closeout,Signed IR ITR records complete,Yes,
Closeout,NCR CAPA and retest evidence attached where applicable,Yes,
Closeout,As-built O&M and handover dossier updated,Yes,
Closeout,Any gate blocker open item flagged for escalation,Yes,
Decision,Disposition assigned A B C D with comments,Yes,A Approved B Approved with comments C Revise and Resubmit D Rejected
